number of edges, edge length, p_loss_length, p_loss_init
runs, mean fidelity, loss rate, min time, mean time, entanglement rate
4,0.0,1.5811388300841898,0.2
4,0.2222222222222222,1.5811388300841898,0.2
4,0.4444444444444444,1.5811388300841898,0.2
4,0.6666666666666666,1.5811388300841898,0.2
4,0.8888888888888888,1.5811388300841898,0.2
4,1.1111111111111112,1.5811388300841898,0.2
4,1.3333333333333333,1.5811388300841898,0.2
4,1.5555555555555554,1.5811388300841898,0.2
4,1.7777777777777777,1.5811388300841898,0.2
4,2.0,1.5811388300841898,0.2
