number of edges, edge length, p_loss_length, p_loss_init
runs, mean fidelity, loss rate, min time, mean time, entanglement rate
8,0.0,1.5811388300841898,0.2
8,0.10101010101010101,1.5811388300841898,0.2
8,0.20202020202020202,1.5811388300841898,0.2
8,0.30303030303030304,1.5811388300841898,0.2
8,0.40404040404040403,1.5811388300841898,0.2
8,0.5050505050505051,1.5811388300841898,0.2
8,0.6060606060606061,1.5811388300841898,0.2
8,0.7070707070707071,1.5811388300841898,0.2
8,0.8080808080808081,1.5811388300841898,0.2
8,0.9090909090909091,1.5811388300841898,0.2
8,1.0101010101010102,1.5811388300841898,0.2
8,1.1111111111111112,1.5811388300841898,0.2
8,1.2121212121212122,1.5811388300841898,0.2
8,1.3131313131313131,1.5811388300841898,0.2
8,1.4141414141414141,1.5811388300841898,0.2
8,1.5151515151515151,1.5811388300841898,0.2
8,1.6161616161616161,1.5811388300841898,0.2
8,1.7171717171717171,1.5811388300841898,0.2
8,1.8181818181818181,1.5811388300841898,0.2
8,1.9191919191919191,1.5811388300841898,0.2
8,2.0202020202020203,1.5811388300841898,0.2
8,2.121212121212121,1.5811388300841898,0.2
8,2.2222222222222223,1.5811388300841898,0.2
8,2.323232323232323,1.5811388300841898,0.2
8,2.4242424242424243,1.5811388300841898,0.2
8,2.525252525252525,1.5811388300841898,0.2
8,2.6262626262626263,1.5811388300841898,0.2
8,2.727272727272727,1.5811388300841898,0.2
8,2.8282828282828283,1.5811388300841898,0.2
8,2.929292929292929,1.5811388300841898,0.2
8,3.0303030303030303,1.5811388300841898,0.2
8,3.131313131313131,1.5811388300841898,0.2
8,3.2323232323232323,1.5811388300841898,0.2
8,3.3333333333333335,1.5811388300841898,0.2
8,3.4343434343434343,1.5811388300841898,0.2
8,3.5353535353535355,1.5811388300841898,0.2
8,3.6363636363636362,1.5811388300841898,0.2
8,3.7373737373737375,1.5811388300841898,0.2
8,3.8383838383838382,1.5811388300841898,0.2
8,3.9393939393939394,1.5811388300841898,0.2
8,4.040404040404041,1.5811388300841898,0.2
8,4.141414141414141,1.5811388300841898,0.2
8,4.242424242424242,1.5811388300841898,0.2
8,4.343434343434343,1.5811388300841898,0.2
8,4.444444444444445,1.5811388300841898,0.2
8,4.545454545454545,1.5811388300841898,0.2
8,4.646464646464646,1.5811388300841898,0.2
8,4.747474747474747,1.5811388300841898,0.2
8,4.848484848484849,1.5811388300841898,0.2
8,4.94949494949495,1.5811388300841898,0.2
8,5.05050505050505,1.5811388300841898,0.2
8,5.151515151515151,1.5811388300841898,0.2
8,5.252525252525253,1.5811388300841898,0.2
8,5.353535353535354,1.5811388300841898,0.2
8,5.454545454545454,1.5811388300841898,0.2
8,5.555555555555555,1.5811388300841898,0.2
8,5.656565656565657,1.5811388300841898,0.2
8,5.757575757575758,1.5811388300841898,0.2
8,5.858585858585858,1.5811388300841898,0.2
8,5.959595959595959,1.5811388300841898,0.2
8,6.0606060606060606,1.5811388300841898,0.2
8,6.161616161616162,1.5811388300841898,0.2
8,6.262626262626262,1.5811388300841898,0.2
8,6.363636363636363,1.5811388300841898,0.2
8,6.4646464646464645,1.5811388300841898,0.2
8,6.565656565656566,1.5811388300841898,0.2
8,6.666666666666667,1.5811388300841898,0.2
8,6.767676767676767,1.5811388300841898,0.2
8,6.8686868686868685,1.5811388300841898,0.2
8,6.96969696969697,1.5811388300841898,0.2
8,7.070707070707071,1.5811388300841898,0.2
8,7.171717171717171,1.5811388300841898,0.2
8,7.2727272727272725,1.5811388300841898,0.2
8,7.373737373737374,1.5811388300841898,0.2
8,7.474747474747475,1.5811388300841898,0.2
8,7.575757575757575,1.5811388300841898,0.2
8,7.6767676767676765,1.5811388300841898,0.2
8,7.777777777777778,1.5811388300841898,0.2
8,7.878787878787879,1.5811388300841898,0.2
8,7.979797979797979,1.5811388300841898,0.2
8,8.080808080808081,1.5811388300841898,0.2
8,8.181818181818182,1.5811388300841898,0.2
8,8.282828282828282,1.5811388300841898,0.2
8,8.383838383838384,1.5811388300841898,0.2
8,8.484848484848484,1.5811388300841898,0.2
8,8.585858585858587,1.5811388300841898,0.2
8,8.686868686868687,1.5811388300841898,0.2
8,8.787878787878787,1.5811388300841898,0.2
8,8.88888888888889,1.5811388300841898,0.2
8,8.98989898989899,1.5811388300841898,0.2
8,9.09090909090909,1.5811388300841898,0.2
8,9.191919191919192,1.5811388300841898,0.2
8,9.292929292929292,1.5811388300841898,0.2
8,9.393939393939394,1.5811388300841898,0.2
8,9.494949494949495,1.5811388300841898,0.2
8,9.595959595959595,1.5811388300841898,0.2
8,9.696969696969697,1.5811388300841898,0.2
8,9.797979797979798,1.5811388300841898,0.2
8,9.8989898989899,1.5811388300841898,0.2
8,10.0,1.5811388300841898,0.2
