number of edges, edge length, p_loss_length, p_loss_init
runs, mean fidelity, loss rate, min time, mean time, entanglement rate
6,0.0,1.5811388300841898,0.2
6,0.10101010101010101,1.5811388300841898,0.2
6,0.20202020202020202,1.5811388300841898,0.2
6,0.30303030303030304,1.5811388300841898,0.2
6,0.40404040404040403,1.5811388300841898,0.2
6,0.5050505050505051,1.5811388300841898,0.2
6,0.6060606060606061,1.5811388300841898,0.2
6,0.7070707070707071,1.5811388300841898,0.2
6,0.8080808080808081,1.5811388300841898,0.2
6,0.9090909090909091,1.5811388300841898,0.2
6,1.0101010101010102,1.5811388300841898,0.2
6,1.1111111111111112,1.5811388300841898,0.2
6,1.2121212121212122,1.5811388300841898,0.2
6,1.3131313131313131,1.5811388300841898,0.2
6,1.4141414141414141,1.5811388300841898,0.2
6,1.5151515151515151,1.5811388300841898,0.2
6,1.6161616161616161,1.5811388300841898,0.2
6,1.7171717171717171,1.5811388300841898,0.2
6,1.8181818181818181,1.5811388300841898,0.2
6,1.9191919191919191,1.5811388300841898,0.2
6,2.0202020202020203,1.5811388300841898,0.2
6,2.121212121212121,1.5811388300841898,0.2
6,2.2222222222222223,1.5811388300841898,0.2
6,2.323232323232323,1.5811388300841898,0.2
6,2.4242424242424243,1.5811388300841898,0.2
6,2.525252525252525,1.5811388300841898,0.2
6,2.6262626262626263,1.5811388300841898,0.2
